platform,channel,campaign_name_template,adset_or_adgroup_template,level,objective,geo_cluster,university,program_theme,audience_or_keyword_theme,landing_page_type,primary_kpi,notes
Google,Search,"IN | GGL | SEARCH | EDGE | BRANDED | {REGION} | LEADS","{Brand/Emversity/EDGE}",Campaign,Leads,{REGION},All,Brand,"emversity edge, emversity bsc",Brand or EDGE hub page,CPL / CPAppt,"Always on"
Google,Search,"IN | GGL | SEARCH | EDGE | UNI_{UNIVERSITY} | {STATE_CITY} | LEADS","{AHP / BPT / BBA_Hosp / Program Mix}",Campaign,Leads,{STATE_CITY},{UNIVERSITY},Program Specific,"[university] allied health admission",University page,CPAppt / CPDemo,"Tier A first"
Google,Search,"IN | GGL | SEARCH | EDGE | GENERIC_AHP | {STATE_CITY} | LEADS","A&OTT / CVT / MLT / MRIT / RT / EMT",Campaign,Leads,{STATE_CITY},All,AHP Generic,"bsc allied health, paramedical after 12th",Cluster or program page,CPL -> CPDemo,"Exact/Phrase first"
Google,Search,"IN | GGL | SEARCH | EDGE | GENERIC_GEO | {STATE} | LEADS","Allied Health Colleges / Program variants",Campaign,Leads,{STATE},All,Geo Generic,"allied health colleges in {state}",Cluster page,CPAppt,"Use negatives aggressively"
Google,DSA,"IN | GGL | DSA | EDGE | UNI_PAGES | {REGION} | LEADS","Auto targets by page feed",Campaign,Leads,{REGION},All,Long-tail capture,"DSA page feed",University pages,CPAppt,"Feed only approved pages"
Meta,Leads,"IN | META | LEADS | EDGE | TOF | {REGION} | BROAD","{STATE/CITY} | Student 18-24 | Broad",Campaign,Leads,{REGION},All,Career awareness,Broad,Cluster page or lead form,CPL / CPAppt,"Video + static mix"
Meta,Leads,"IN | META | LEADS | EDGE | TOF | {REGION} | PARENTS","{STATE/CITY} | Parents 35-55 | Broad",Ad Set,Leads,{REGION},All,Parent reassurance,Parent audience,Lead form,CPAppt / CPDemo,"Fees/hostel/placement proof"
Meta,Leads,"IN | META | LEADS | EDGE | MOF | {STATE_CITY} | AHP","{Audience type} | {Language}",Campaign,Leads,{STATE_CITY},{UNIVERSITY},AHP Programs,Interest / LAL / Broad,University page or lead form,CPAppt,"University creatives"
Meta,Sales/Leads,"IN | META | RMK | EDGE | {STAGE} | {WINDOW}","Website / form opens / video viewers",Campaign,Remarketing,All,All,BOF stage push,Retargeting,Lead form / WhatsApp / landing page,CPDemo / CAC,"Separate by 7/14/30 day"
Meta,Leads,"IN | META | REACT | EDGE | OLD_LEADS | {REGION}","CRM lists by stage and age",Campaign,Reactivation,{REGION},All,Reactivation,Custom audiences,WhatsApp / lead form,CPAppt / CPDemo,"Use seat urgency + start dates"
