month_no,month,google_spend,meta_spend,total_spend,google_target_leads,meta_target_leads,total_target_leads,google_target_appointments,meta_target_appointments,total_target_appointments,google_target_demos,meta_target_demos,total_target_demos,google_target_enrollments,meta_target_enrollments,total_target_enrollments,google_cpl,meta_cpl,blended_cpl
1,Jan 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2,Feb 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3,Mar 26,858000.0,858000.0,1716000.0,1755.6667,2633.5,4389.1667,109.7292,109.7292,219.4584,43.8917,43.8917,87.7834,13.1675,13.1675,26.335,488.7,325.8,390.96
4,Apr 26,926640.0,1132560.0,2059200.0,1896.12,3476.22,5372.34,118.5075,144.8425,263.35,47.403,57.937,105.34,14.2209,17.3811,31.602,488.7,325.8,383.3
5,May 26,1098240.0,1647360.0,2745600.0,2247.2533,5056.32,7303.5733,140.4533,210.68,351.1333,56.1813,84.272,140.4533,16.8544,25.2816,42.136,488.7,325.8,375.93
6,Jun 26,1510080.0,2265120.0,3775200.0,3089.9733,6952.44,10042.4133,193.1233,289.685,482.8083,77.2493,115.874,193.1233,23.1748,34.7622,57.937,488.7,325.8,375.93
7,Jul 26,1372800.0,1372800.0,2745600.0,2809.0667,4213.6,7022.6667,175.5667,175.5667,351.1334,70.2267,70.2267,140.4534,21.068,21.068,42.136,488.7,325.8,390.96
8,Aug 26,943800.0,772200.0,1716000.0,1931.2333,2370.15,4301.3833,120.7021,98.7563,219.4584,48.2808,39.5025,87.7833,14.4843,11.8508,26.3351,488.7,325.8,398.94
9,Sep 26,823680.0,549120.0,1372800.0,1685.44,1685.44,3370.88,105.34,70.2267,175.5667,42.136,28.0907,70.2267,12.6408,8.4272,21.068,488.7,325.8,407.25
10,Oct 26,617760.0,411840.0,1029600.0,1264.08,1264.08,2528.16,79.005,52.67,131.675,31.602,21.068,52.67,9.4806,6.3204,15.801,488.7,325.8,407.25
99,Total,8151000.0,9009000.0,17160000.0,16678.8333,27651.75,44330.5833,1042.4271,1152.1564,2194.5835,416.9708,460.8626,877.8334,125.0913,138.2588,263.3501,488.7,325.8,387.09
