month,monthly_budget,google_spend_pct,google_spend,meta_spend_pct,meta_spend,target_leads,target_appointments,target_demos,target_enrollments
Jan 26,0,0.5,0,0.5,0,0,0,0,0
Feb 26,0,0.5,0,0.5,0,0,0,0,0
Mar 26,1716000,0.5,858000,0.5,858000,4213.6,219.4583,87.7833,26.335
Apr 26,2059200,0.45,926640,0.55,1132560,5159.5102,263.35,105.34,31.602
May 26,2745600,0.4,1098240,0.6,1647360,7022.6667,351.1333,140.4533,42.136
Jun 26,3775200,0.4,1510080,0.6,2265120,9656.1667,482.8083,193.1233,57.937
Jul 26,2745600,0.5,1372800,0.5,1372800,6741.76,351.1333,140.4533,42.136
Aug 26,1716000,0.55,943800,0.45,772200,4130.9804,219.4583,87.7833,26.335
Sep 26,1372800,0.6,823680,0.4,549120,3241.2308,175.5667,70.2267,21.068
Oct 26,1029600,0.6,617760,0.4,411840,2430.9231,131.675,52.67,15.801
Total,17160000.0,,8151000.0,,9009000.0,42596.8379,2194.5832,877.8332,263.35
