month,monthly_budget,google_spend_pct,google_spend,meta_spend_pct,meta_spend,monthly_budget_share_of_program,target_enrollments,target_demos,target_appointments,target_leads,blended_lead_to_enroll_rate
Jan 26,0,0.5,0,0.5,0,0,0,0,0,0,0.00625
Feb 26,0,0.5,0,0.5,0,0,0,0,0,0,0.00625
Mar 26,1126125,0.5,563062.5,0.5,563062.5,0.1,37.03,123.4333,308.5833,5924.8,0.00625
Apr 26,1351350,0.45,608107.5,0.55,743242.5,0.12,44.436,148.12,370.3,7254.8571,0.006125
May 26,1801800,0.4,720720,0.6,1081080,0.16,59.248,197.4933,493.7333,9874.6667,0.006
Jun 26,2477475,0.4,990990,0.6,1486485,0.22,81.466,271.5533,678.8833,13577.6667,0.006
Jul 26,1801800,0.5,900900,0.5,900900,0.16,59.248,197.4933,493.7333,9479.68,0.00625
Aug 26,1126125,0.55,619368.75,0.45,506756.25,0.1,37.03,123.4333,308.5833,5808.6275,0.006375
Sep 26,900900,0.6,540540,0.4,360360,0.08,29.624,98.7467,246.8667,4557.5385,0.0065
Oct 26,675675,0.6,405405,0.4,270270,0.06,22.218,74.06,185.15,3418.1538,0.0065
